read length,I=1,I=2,I=3,I=4
3465,21.582189,31.380665,72.164307,94.462843
3540,29.864917,46.382989,114.39331,149.120888
3570,59.520933,84.872961,221.913467,301.395914
3575,22.750453,31.067865,75.903208,99.53222
3690,26.572765,36.163932,85.504198,116.459998
3735,24.422746,40.017281,99.875843,146.141948
3735,34.857464,54.871886,135.701686,189.133077
3735,21.397989,31.676292,66.846966,87.704386
3800,74.257983,134.802115,442.120041,614.686552
3805,25.180013,35.458795,88.870276,117.022855
3820,23.636965,31.942057,68.073964,88.725557
3990,20.901789,32.969968,83.611304,106.444809
4045,24.38583,34.953518,77.483768,98.715907
4100,29.22306,43.836446,103.484105,135.969853
4215,37.444796,57.216061,153.808673,204.390719
4260,29.750447,44.613242,103.318166,140.590375
4280,37.182878,57.305693,150.482214,207.182514
4325,120.264171,203.164312,587.977344,798.050968
4360,23.736437,36.615898,108.209194,146.715387
4425,46.921238,76.388473,203.629402,276.292902
4490,27.690304,40.741659,96.026505,122.303056
4735,111.525657,269.145768,544.958367,721.064744
4855,28.58832,38.306166,85.066857,115.086929
5025,142.073053,250.705297,694.642638,991.523728
5145,29.681875,47.372547,122.699377,165.539139
5200,30.137552,44.393259,100.912825,127.799952
5330,54.333465,87.689413,231.940979,304.297778
5340,28.464744,42.982087,112.903894,143.935417
5345,31.298171,41.951911,93.852913,127.120799
5350,31.334834,42.101037,94.768427,127.261678
5375,37.093778,53.446209,121.711797,161.109685
5390,26.963914,42.264988,117.144314,158.152584
5455,31.069575,46.815324,105.493782,133.587444
5560,40.58925,65.54732,202.454142,276.244463
5605,65.393394,110.676831,284.828215,397.589656
5735,31.60862,47.807502,102.493006,134.943873
5825,105.490111,163.746873,499.861699,696.312951
5835,28.291263,42.88619,115.970804,158.086379
5935,33.866786,53.467572,158.07938,217.742619
5935,85.802489,154.159644,489.106702,682.888249
6090,35.479084,52.806129,118.796941,149.040246
6320,42.425341,65.046349,156.981873,207.851424
6350,36.513901,49.824096,112.860755,151.932797
6355,76.641118,122.959405,330.273404,447.2074
6370,34.478815,51.485361,129.794789,175.448945
6450,105.122777,179.456514,560.130688,758.301915
6820,40.311914,61.132042,140.317719,177.832626
7030,36.394273,60.238409,160.918313,215.873053
7145,41.304536,61.471593,138.456928,176.629355
7565,74.568859,116.871015,303.370097,417.641492
7650,51.026851,75.938029,188.04131,255.245668
8280,48.562514,65.786944,147.927586,198.024419
8890,74.766902,116.230837,430.609287,459.470254
9095,46.422689,72.435249,200.406924,278.950973
9210,49.367307,84.852215,217.941558,297.712671
9345,95.854065,119.197142,307.713475,424.861714
9425,123.116461,164.242365,450.78629,620.358727
10575,85.449148,141.572591,344.38837,479.394205
11555,72.506159,105.075111,234.503484,310.811881
12015,89.141357,108.194991,258.209269,341.57486
12130,69.33909,102.533651,239.393173,316.128468
13210,133.651381,203.757673,523.020312,710.093399
18730,121.401879,273.34588,456.917697,584.76474
18835,132.981864,187.138903,460.889133,612.667251
19395,115.396465,159.224456,371.548412,502.853565
